Index,야영(캠핑)장명,야영(캠핑)장구분,위도,경도,소재지도로명주소,소재지지번주소,야영장전화번호,야영사이트수,부지면적,건축연면적,1일최대수용인원수,주차장면수,편의시설,안전시설,기타부대시설,이용시간,이용요금,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
543,거제자연휴양림,야영장,34.78569962,128.6259438,경상남도 거제시 동부면 거제중앙로 325,경상남도 거제시 동부면 구천리 산 103번지,055-639-4354,77,345377,1803,260,130,"화장실, 취사장, 샤워장, 매점",소화기,,11시~익일10시,"10,000~20,000",055-639-8115,거제해양관광개발공사,2019-06-05,6480000,경상남도
544,옥계마을회영농조합법인,야영장,34.9784278,128.630336,경상남도 거제시 하청면 연구리 414-9,경상남도 거제시 하청면 칠천로 265-17,000-0000-0000,28,2959,388,100,30,"화장실, 개수대, 샤워실",소화기,,14시~익일13시,"6,000~15,000",055-639-4163,거제시청,2019-06-05,6480000,경상남도
545,스톤힐,야영장,34.8925389,128.655602,경상남도 거제시 수월동 122-12,경상남도 거제시 수양1길 92-5(수월동),055-632-7577,9,3992,236,40,16,"화장실, 개수대, 샤워실",소화기,,15시~익일11시,"140,000~200,000",055-639-4163,거제시청,2019-06-05,6480000,경상남도
546,거제글램퍼스,야영장,34.8145481,128.665155,경상남도 거제시 일운면 망치리 252,경상남도 거제시 일운면 망치4길 38,000-0000-0000,7,1380,258,30,10,"화장실, 개수대, 샤워실",소화기,,15시~익일11시,"90,000~170,000",055-639-4163,거제시청,2019-06-05,6480000,경상남도
547,궁농오토캠핑장,자동차야영장,35.0006856,128.702825,경상남도 거제시 장목면 송진포리 121,경상남도 거제시 장목면 거제북로 2633-16,000-0000-0000,28,6616,145,110,30,"화장실, 개수대, 샤워실",소화기,,14시~익일11시,"30,000",055-639-4163,거제시청,2019-06-05,6480000,경상남도
548,거창 에이글램핑,야영장,35.688734,127.8686592,경상남도 거창군 마리면 세동길 13,,000-000-0000,15,,72,60,,"전기시설, 상하수도시설,샤워실","소화기, 대피공간",,1일 14:00~ 2일13:00,,055-940-3422,거창군,2019-06-05,6480000,경상남도
549,금원산 자연휴양림,야영장,35.73144637,127.7978793,경상남도 거창군 위천면 금원산길 412,,055-254-3974,90,1335,,360,,"전기시설, 상하수도시설,샤워실","소화기, 대피공간",,1일 14:00~ 2일13:00,,055-940-3422,거창군,2019-06-05,6480000,경상남도
550,달빛고운 월성캠핑장,야영장,35.76430409,127.7423963,경상남도 거창군 북상면 덕유월성로 1433-7,,055-944-5370,10,4956,1153,40,,"전기시설, 상하수도시설,샤워실","소화기, 대피공간",,1일 14:00~ 2일13:00,,055-940-3422,거창군,2019-06-05,6480000,경상남도
551,별헤는밤,야영장,33.44350243,126.3969643,제주특별자치도 제주시 애월읍 광상로 348,제주특별자치도 제주시 애월읍 유수암리 2270-2,000-0000-0000,6,1261,180,30,50,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"글램핑, 카라반",,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
552,계방산 오토캠핑장,자동차야영장,37.7126287,128.4804926,강원도 평창군 용평면 이승복생가길 160,강원도 평창군 용평면 노동리 86,033-332-8829,58,,353.42,400,50,"계절매점,샤워실","소화기, 방송시설, CCTV",야외운동장 1,12:00~익일11:00,"30,000원",033-330-2752,평창군청,2019-05-31,4280000,강원도 평창군
553,흥정계곡캠핑700,야영장,37.6518188,128.3137355,강원도 평창군 봉평면 흥정계곡4길 91,강원도 평창군 봉평면 흥정리 372,033-333-8600,40,,482.08,160,60,"샤워실,화잘실,개수대","소화기, CCTV, 대피용공간",해당없음,14:00~익일12:00,"35,000원",033-330-2752,평창군청,2019-05-31,4280000,강원도 평창군
554,별따기캠핑장,야영장,37.64819321,128.3286751,강원도 평창군 봉평면 흥정계곡3길 60,강원도 평창군 봉평면 흥정계곡3길 60,000-0000-0000,10,,87.05,50,10,"샤워실,화장실,개수대","소화기, 대피용공간",해당없음,13:00~익일12:00,"성수기50,000비성수기30,000",033-330-2752,평창군청,2019-05-31,4280000,강원도 평창군
555,꿈의대화캠핑장,야영장,37.5015933,128.4623951,,강원도 평창군 대화면 대화리 1150-1,033-334-2277,29,,73.82,100,120,"샤워실,화장실,개수대,족구장,농구장,풋살장","소화기, CCTV, 대피용공간, 방송시설",해당없음,14:00~익일11:00,"eps동 성수기60,000/비수기40,000고정식 데크 성수기40,000/비수기30,000",033-330-2752,평창군청,2019-05-31,4280000,강원도 평창군
556,솔잎오토캠핑장,야영장,37.6554981,128.330775,강원도 평창군 봉평면 흥정계곡2길 75,강원도 평창군 봉평면 흥정리 179-1,033-336-6206,23,,35,60,23,"샤워실,화장실,개수대","소화기, CCTV",해당없음,14:00~익일11:00,"비수기30,000원 성수기45,000원",033-330-2752,평창군청,2019-05-31,4280000,강원도 평창군
557,국립두타산자연휴양림,야영장,37.55979563,128.5760515,강원도 평창군 진부면 아차골길 132,강원도 평창군 진부면 수항리 산10,033-334-8815,25,,0,100,15,"샤워실,화장실,개수대","소화기,방송시설",해당없음,15:00~익일12:00,"주중6,000 주말7,500(주차장,입장료 별도)",033-330-2752,평창군청,2019-05-31,4280000,강원도 평창군
558,진부(오대산)관광농원,야영장,37.5555213,128.5671087,강원도 평창군 진부면 아차골길 34-15,강원도 평창군 진부면 수항리 376,033-333-7141,30,,175,120,30,"샤워실,화장실,개수대,잔디밭,족구장","소화기, CCTV, 방송시설",해당없음,13:00~익일12:00,"바닥 35,000 데크 45,000",033-330-2752,평창군청,2019-05-31,4280000,강원도 평창군
559,쪽빛하늘 캠핑장,야영장,37.623684,128.3511852,강원도 평창군 봉평면 흥정계곡길 20-5,강원도 평창군 봉평면 원길리 1066-5,033-335-2934,27,,0,120,200,"샤워실,화장실,개수대,족구장,놀이터,잔디밭","소화기, CCTV, 방송시설",해당없음,13:00~익일11:00,"비수기35,000준성수기45,0000/성수기55,000",033-330-2752,평창군청,2019-05-31,4280000,강원도 평창군
560,청옥산깨비마을 야영장,야영장,37.36782987,128.4853612,강원도 평창군 미탄면 수리재길 21,강원도 평창군 미탄면 회동리 619,033-334-5562,7,,177,50,20,"샤워실,화장실,개수대","소화기,방송시설",카라반3,14:00~익일12:00,"20,000~150,000 사이 카라반",033-330-2752,평창군청,2019-05-31,4280000,강원도 평창군
561,흥정계곡오토캠핑장,야영장,37.6499603,128.3232856,강원도 평창군 봉평면 흥정계곡4길 6-2,강원도 평창군 봉평면 흥정리 356,000-0000-0000,39,,176.54,240,60,"샤워실,화장실,개수대","소화기, 방송시설",공연무대 1,14:00~익일12:00,"비수기30,000 성수기40,000 특성수기55,000",033-330-2752,평창군청,2019-05-31,4280000,강원도 평창군
562,제주도캠핑카라반,자동차야영장,33.542264,126.675482,제주특별자치도 제주시 조천읍 함덕리 265-1,제주특별자치도 제주시 조천읍 함덕리 265-1,064-782-8202,13,1850,18,52,15,상하수도+전기+화장실+취사실+샤워실,소화기,카라반,,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
563,캠핑스타,자동차야영장,33.544093,126.674831,제주특별자치도 제주시 조천읍 함덕리 산4,제주특별자치도 제주시 조천읍 함덕리 산4,064-782-0053,28,6600,64,76,28,상하수도+전기+화장실+취사실+샤워실,소화기,카라반,,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
564,마레보카라반,자동차야영장,33.47064256,126.354463,제주특별자치도 제주시 애월읍 신엄안3길 135,제주특별자치도 제주시 애월읍 고내리 41,064-799-2088,1,330,,8,3,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,카라반,,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
565,벨리타캠핑장,자동차야영장,33.50805538,126.6978414,제주특별자치도 제주시 조천읍 중산간동로 1194,제주특별자치도 제주시 조천읍 선흘리 2861-4,070-7011-7274,26,5562,197.18,100,26,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,,,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
566,제주돌하르방캠핑장,야영장,33.32385452,126.238989,제주특별자치도 제주시 한경면 낙수로 271-40,제주특별자치도 제주시 한경면 청수리 2130,070-4548-9705,28,6668,195,150,20,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"방갈로,수영장,글램핑",,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
567,비체올린,야영장,33.34944607,126.218192,제주특별자치도 제주시 한경면 판조로 253-6,제주특별자치도 제주시 한경면 판포리 725-2,064-773-0000,22,26709,335.55,150,40,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"방갈로, 수영장, 카약체험장",,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
568,교래자연휴양림야영장,야영장,33.4486627,126.6589493,제주특별자치도 제주시 조천읍 남조로 2023,제주특별자치도 제주시 조천읍 교래리 산98,064-710-7471,50,10000,929,500,200,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"풋살경기장, 야외쉼터, 휴양림",,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
569,한라산국립공원관음사지구야영장,야영장,33.4218993,126.5503226,제주특별자치도 제주시 산록북로 588,제주특별자치도 제주시 오등동 산 180-3,064-710-7861,67,50248,,250,100,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,,,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
570,귤빛캠핑장,야영장,33.50392641,126.6738046,제주특별자치도 제주시 조천읍 함와로 428,제주특별자치도 제주시 조천읍 대흘리 172,064-728-0110,25,5148,98.16,100,20,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"수영장, 카라반",,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
571,제주에코힐글램핑,야영장,33.44986428,126.4408747,제주특별자치도 제주시 애월읍 광령평화8길 22,제주특별자치도 제주시 애월읍 광령리 926-3,064-743-0060,18,3749,174.94,96,20,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"수영장2명, 글램핑",,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
572,골체오름캠핑,야영장,33.45160315,126.7048735,제주특별자치도 제주시 조천읍 번영로 1648-41,제주특별자치도 제주시 조천읍 선흘리 1858-1,000-0000-0000,13,3267,95.7,60,15,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,방갈로,,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
573,사프리카 더 캠프,야영장,33.49909835,126.9598293,제주특별자치도 제주시 우도면 영일길 77,제주특별자치도 제주시 우도면 연평리 428,000-0000-0000,4,1498,45.44,24,4,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,글램핑,,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
574,교래생태체험장,야영장,33.42616534,126.6712399,제주특별자치도 제주시 조천읍 교래4길 20-13,제주특별자치도 제주시 조천읍 교래리 636,000-0000-0000,25,5648,400,25,20,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,,,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
575,㈜제주글램핑,야영장,33.481485,126.7521993,제주특별자치도 제주시 구좌읍 중산간동로 1921,제주특별자치도 제주시 구좌읍 덕천리 1289-2,064-784-3200,81,25656,828.46,240,80,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"글램핑, 수영장",,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
576,㈜자연인,야영장,33.4687254,126.5399561,제주특별자치도 제주시 아란서길 110,제주특별자치도 제주시 아라일동 2082-1,064-723-7500,20,12749,1795.22,40,47,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"글램핑, 야외공연",,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
577,제주베스트힐,야영장,33.454054,126.6576599,제주특별자치도 제주시 조천읍 남조로 2109-38,제주특별자치도 제주시 조천읍 교래리 786-30,070-4400-3300,5,4221,393.93,20,5,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"글램핑, 체험농장",,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
578,메이더카라반,자동차야영장,33.551792,126.7067636,제주특별자치도 제주시 구좌읍 일주동로 1626,제주특별자치도 제주시 구좌읍 동복리 1652-2,064-766-8888,8,2088,57,24,8,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"카라반, 호텔",,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
579,무거카라반,자동차야영장,33.54872402,126.6548706,제주특별자치도 제주시 조천읍 조함해안로 352,제주특별자치도 제주시 조천읍 신흥리 15,064-900-4151,4,903,68,12,4,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,카라반,,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
580,숲속야영장 휴림,야영장,33.443436,126.4289921,제주특별자치도 제주시 애월읍 광령남서길 40,제주특별자치도 제주시 애월읍 광령리 2873,064-799-4883,34,9648,579,500,50,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"카라반, 어린이놀이터",,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
581,선양캠핑장,야영장,33.4745476,126.6437279,제주특별자치도 제주시 조천읍 와흘로 350,제주특별자치도 제주시 조천읍 와흘리 262,000-0000-0000,4,8925,59,16,10,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,카라반,,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
582,디-포레 카라반파크,야영장,33.46482742,126.7811924,제주특별자치도 제주시 구좌읍 송당6길 78,제주특별자치도 제주시 구좌읍 송당리 1901-2,064-784-2417,44,8058,141,500,50,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"카라반, 수영장",,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
583,청계동솔바람야영장,야영장,35.3080808,127.2640412,전라남도 곡성군 곡성읍 청계동로 415-46,전라남도 곡성군 곡성읍 신기리 1061-2,061-884-7000,40,14086,254.24,300,200,전기시설+상하수도시설+샤워실,소화기+대피공간,"관리동 1동, 별동 1동",지정일 14:00 ~익일 11:00,"데크 : 30,000 ~ 50,000원          텐트하우스  50,000원",061-360-8360,전라남도 곡성군청,2019-06-27,4860000,전라남도 곡성군
584,아리솔캠핑장,야영장,35.29366408,127.3672781,전라남도 곡성군 고달면 고산로 343-23,전라남도 곡성군 고달면 고달리 860,000-0000-0000,32,28025,123,130,40,전기시설+상하수도시설+샤워실,소화기+대피공간,글램핑 1동,지정일 13:00 ~ 익일 11:00,"텐트 :30,000~ 50,000원        글램핑 : 60,000 ~ 80,000원",061-360-8360,전라남도 곡성군청,2019-06-27,4860000,전라남도 곡성군
585,목사골야영장,야영장,35.10601487,127.3131322,전라남도 곡성군 목사동면 용봉길 91-109,전라남도 곡성군 목사동면 용봉리 425-6,000-0000-0000,20,6548,256,50,25,전기시설+상하수도시설+샤워실,소화기+대피공간,,지정일 14:00 ~익일 11:00,"텐트 : 20,000  ~ 30,000원",061-360-8360,전라남도 곡성군청,2019-06-27,4860000,전라남도 곡성군
586,하늘나리캠핑장,야영장,35.1611591,127.3998369,전라남도 곡성군 죽곡면 상한길 255-4,전라남도 곡성군 죽곡면 하한리 658-1,061-363-8546,10,,,40,14,전기시설+상하수도시설+샤워실,소화기+대피공간,"수영장, 정자, 원두막, 평상",지정일 11:00 ~ 익일 11:00,"캠핑장  30,000원",061-360-8360,전라남도 곡성군청,2019-06-27,4860000,전라남도 곡성군
587,오서산자연휴양림,야영장,36.4547199,126.672206,충청남도 보령시 청라면 오서산길 531,충청남도 보령시 청라면 장현리 산52-2,041-936-5465,8,,,150,,전기시설+화장실+취사시설+샤워실,소화기+관리요원,,,,041-930-6572,보령시청,2019-09-07,4510000,충청남도 보령시
588,상양관광농원,야영장,36.3697072,126.5920785,충청남도 보령시 주교면 문화마을길 178-58,충청남도 보령시 주교면 신대리 885-7,000-0000-0000,15,,,60,,전기시설+화장실+취사시설+샤워실,소화기+관리요원,,,,041-930-6572,보령시청,2019-09-07,4510000,충청남도 보령시
589,성주산자연휴양림,야영장,36.33256882,126.6639659,충청남도 보령시 성주면 화장골길 57-228,충청남도 보령시 성주면 성주리 산39,041-930-3821,59,,,200,,전기시설+화장실+취사시설+샤워실,소화기+관리요원,,,,041-930-6572,보령시청,2019-09-07,4510000,충청남도 보령시
590,무창포솔원캠핑장,야영장,36.25020496,126.5481891,충청남도 보령시 웅천읍 삼정골길 102,충청남도 보령시 웅천읍 관당리 산53,000-0000-0000,20,,,80,,전기시설+화장실+취사시설+샤워실,소화기+관리요원,,,,041-930-6572,보령시청,2019-09-07,4510000,충청남도 보령시
591,은행마을,야영장,36.4273531,126.6753732,충청남도 보령시 청라면 오서산길 150-65,충청남도 보령시 청라면 장현리 545-7,070-7845-5060,7,,,60,,전기시설+화장실+취사시설+샤워실,소화기+관리요원,,,,041-930-6572,보령시청,2019-09-07,4510000,충청남도 보령시
592,대명캠프팜랜드,야영장,36.46700337,126.5691545,충청남도 보령시 청소면 송덕신송길 229-42,충청남도 보령시 청소면 신송리 455-4,041-934-8578,8,,,40,,전기시설+화장실+취사시설+샤워실,소화기+관리요원,,,,041-930-6572,보령시청,2019-09-07,4510000,충청남도 보령시
593,대천해수욕장 야영장,야영장,36.304663,126.5173294,충청남도 보령시 해수욕장1길 23,충청남도 보령시 신흑동 2021,041-930-4087,10,,,50,,전기시설+화장실+취사시설+샤워실,소화기+관리요원,,,,041-930-6572,보령시청,2019-09-07,4510000,충청남도 보령시
594,별장 캠핑카,야영장,36.32477657,126.5081614,충청남도 보령시 대천항1길 30,충청남도 보령시 신흑동 929-29,000-0000-0000,8,,,40,,전기시설+화장실+취사시설+샤워실,소화기+관리요원,,,,041-930-6572,보령시청,2019-09-07,4510000,충청남도 보령시
595,용두해수욕장 숲속야영장,야영장,36.2624173,126.5483848,충청남도 보령시 남포면 용두욕장2길 40,충청남도 보령시 남포면 월전리 787-8,041-933-4055,11,,,50,,전기시설+화장실+취사시설+샤워실,소화기+관리요원,,,,041-930-6572,보령시청,2019-09-07,4510000,충청남도 보령시
596,더반 힐 글램핑,야영장,36.42473483,126.5041273,충청남도 보령시 오천면 오천해안로 555,충청남도 보령시 오천면 영보리 산2-5,041-932-9262,8,,,40,,전기시설+화장실+취사시설+샤워실,소화기+관리요원,,,,041-930-6572,보령시청,2019-09-07,4510000,충청남도 보령시
597,어망골 캠핑장,야영장,36.50574348,126.4899717,충청남도 보령시 천북면 사호장은로 638,충청남도 보령시 천북면 장은리 970,000-0000-0000,7,,,40,,전기시설+화장실+취사시설+샤워실,소화기+관리요원,,,,041-930-6572,보령시청,2019-09-07,4510000,충청남도 보령시
598,무창포해수욕장 오토캠핑장,자동차야영장,36.24120491,126.5357527,,충청남도 보령시 웅천읍 관당리 806-9,041-936-3561,8,,,40,,전기시설+화장실+취사시설+샤워실,소화기+관리요원,,,,041-930-6572,보령시청,2019-09-07,4510000,충청남도 보령시
599,무창포카라반파크,자동차야영장,36.23655535,126.5345004,충청남도 보령시 웅천읍 동뒤마을길 49-24,충청남도 보령시 웅천읍 독산리 산15-4,041-934-6362,9,,,45,,전기시설+화장실+취사시설+샤워실,소화기+관리요원,,,,041-930-6572,보령시청,2019-09-07,4510000,충청남도 보령시
600,트로피칼드림,야영장,34.8186042,128.709344,경상남도 거제시 일운면 와현리 497번지,경상남도 거제시 일운면 와현리 497번지,055-621-5550,8,1794,27,30,10,화장실,"소화기, 단독경보형 감지기",,15시~익일11시,"80,000~210,000",055-639-4163,거제시청,2019-06-05,6480000,경상남도
601,다인카라반,자동차야영장,33.4710066,126.3514646,제주특별자치도 제주시 애월읍 애월해안로 400-9,제주특별자치도 제주시 애월읍 고내리 79-8,064-799-2600,3,1523,,18,3,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"카라반, 리조트",,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
602,제주플래티늄카라반,자동차야영장,33.48344636,126.401434,제주특별자치도 제주시 애월읍 하귀미수포길 5-8,제주특별자치도 제주시 애월읍 하귀2리 1806-2,064-805-9999,11,1374,160.86,38,20,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,카라반. 펜션,,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
603,제주할리데이,자동차야영장,33.30832617,126.2815249,제주특별자치도 제주시 한경면 녹차분재로 354,제주특별자치도 제주시 한경면 저지리 3267,064-805-0006,14,2700,434,45,20,상하수도+전기+화장실+취사실+샤워실,소화기+대피공간,"카라반, 카페",,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
604,폴리파크카라반,자동차야영장,33.386848,126.3751531,제주특별자치도 제주시 애월읍 산록서로 18,제주특별자치도 제주시 애월읍 어음리 3912,064-799-0166,4,2100,300,16,10,하수도+전기+화장실+취사실+샤워실,소화기,카라반,,,064-728-2782,제주시청,2019-05-23,6510000,제주특별자치도 제주시
605,마운틴캠핑장,야영장,37.13517967,127.3286201,경기도 용인시 처인구 원삼면 후평로185번길 50,경기도 용인시 처인구 원삼면 죽능리 26-34번지,000-0000-0000,26,,,104,,하수도시설+전기시설+개수대+샤워실,소화기+확성기+안전게시물+관리요원,,,,031-324-2117,용인시청,2019-12-03,4050000,경기도 용인시
606,카라반베이캠핑장,야영장,37.28401186,127.2191846,경기도 용인시 처인구 포곡읍 전대로 62,경기도 용인시 처인구 포곡읍 전대리 192-2번지,031-323-5511,25,,,100,,하수도시설+전기시설+개수대,소화기+방송장비+관리요원,,,,031-324-2117,용인시청,2019-12-03,4050000,경기도 용인시
607,꽃주렁 나무주렁 캠핑장,야영장,37.11433172,127.2100896,경기도 용인시 처인구 이동읍 경기동로1024번길 40,경기도 용인시 처인구 이동면 어비리 205번지,000-0000-0000,18,,,70,,하수도시설+전기시설+개수대,소화기+확성기+안전게시물+관리요원,,,,031-324-2117,용인시청,2019-12-03,4050000,경기도 용인시
608,정광산 관광농원,야영장,37.31545792,127.2650145,경기도 용인시 처인구 모현읍 초부로 215-5,경기도 용인시 처인구 모현면 초부리 310-14번지,031-333-1222,10,,,40,,하수도시설+전기시설+개수대+샤워실,소화기+방송시설+안전게시물+관리요원,,,,031-324-2117,용인시청,2019-12-03,4050000,경기도 용인시
609,장수자연관광농원,야영장,37.124425,127.314531,경기도 용인시 처인구 원삼면 목신리 258-14번지,경기도 용인시 처인구 원삼면 목신리 258-14번지,000-0000-0000,13,,,50,,전기시설+하수도시설+개수대,소화기+확성기+안전게시물+대피소+관리요원,,,,031-324-2117,용인시청,2019-12-03,4050000,경기도 용인시
610,용인 미르힐,야영장,37.31545387,127.2652131,경기도 용인시 처인구 모현읍 초부로 215-7,경기도 용인시 처인구 모현면 초부리 310번지,000-0000-0000,8,,,30,,하수도시설+전기시설+개수대,소화기+확성기+안전게시물+관리요원,,,,031-324-2117,용인시청,2019-12-03,4050000,경기도 용인시
611,에이스카라반,야영장,37.16501846,127.2437901,경기도 용인시 처인구 이동읍 이원로 547,경기도 용인시 처인구 이동면 묵리 416-18번지,000-0000-0000,7,,,28,,하수도시설+전기시설+개수대,소화기+확성기+안전게시물+관리요원,,,,031-324-2117,용인시청,2019-12-03,4050000,경기도 용인시
612,용인반딧불캠핑장,야영장,37.13100612,127.295714,경기도 용인시 처인구 원삼면 보개원삼로1517번길 153,경기도 용인시 처인구 원삼면 목신리 866-1번지,000-0000-0000,11,,,44,,하수도시설+전기시설+개수대,소화기+확성기+안전게시물+관리요원,,,,031-324-2117,용인시청,2019-12-03,4050000,경기도 용인시
613,봉봉캠핑장,야영장,37.20716256,127.1693191,경기도 용인시 처인구 이동읍 백자로184번길 17,경기도 용인시 처인구 이동면 서리 560번지,000-0000-0000,20,,,80,,하수도시설+전기시설+개수대+샤워실,소화기+확성기+안전게시물+관리요원,,,,031-324-2117,용인시청,2019-12-03,4050000,경기도 용인시
614,산수골캠핑장,야영장,37.19441671,127.2166367,경기도 용인시 처인구 이동읍 원천로41번길 81,경기도 용인시 처인구 이동면 천리 345-1번지,000-0000-0000,9,,,35,,하수도시설+전기시설+개수대,소화기+확성기+안전게시물+관리요원,,,,031-324-2117,용인시청,2019-12-03,4050000,경기도 용인시
615,별아래캠핑장,야영장,37.25613017,127.2760203,경기도 용인시 처인구 양지면 한터로662번길 34-34,경기도 용인시 처인구 양지면 대대리 650번지,000-0000-0000,15,,,60,,하수도시설+전기시설+개수대,소화기+확성기+안전게시물+관리요원,,,,031-324-2117,용인시청,2019-12-03,4050000,경기도 용인시
616,연미향마을캠핑장,야영장,37.15619061,127.3305257,경기도 용인시 처인구 원삼면 백원로 128-7,경기도 용인시 처인구 원삼면 독성리 23-3번지,000-0000-0000,25,,,100,,하수도시설+전기시설+개수대+샤워실,소화기+확성기+안전게시물+관리요원+대피소,,,,031-324-2117,용인시청,2019-12-03,4050000,경기도 용인시
617,EBS골드캠핑장,야영장,37.21869224,127.1358554,경기도 용인시 기흥구 기흥단지로 397,경기도 용인시 기흥구 고매동 33번지,031-274-6527,25,,,100,,하수도시설+전기시설+개수대,소화기+방송장비+대피소+관리요원,,,,031-324-2117,용인시청,2019-12-03,4050000,경기도 용인시
618,캠프레이크,야영장,37.22735631,127.1000699,경기도 용인시 기흥구 동탄기흥로785번길 21-5,경기도 용인시 기흥구 고매동 539-1번지,000-0000-0000,14,,,56,,하수도시설+전기시설+개수대+샤워실,소화기+방송시설+안전게시물+관리요원,,,,031-324-2117,용인시청,2019-12-03,4050000,경기도 용인시
619,소풍캠핑장,야영장,37.13365476,127.2055963,경기도 용인시 처인구 이동읍 경기동로785번길 30,경기도 용인시 이동읍 송전리 218-1번지,000-0000-0000,65,,,180,,하수도시설+전기시설+개수대+샤워실,소화기+방송시설+안전게시물+관리요원,,,,031-324-2117,용인시청,2019-12-03,4050000,경기도 용인시
620,철이네 캠핑랜드,야영장,37.12376007,127.3517152,경기도 용인시 처인구 백암면 용천로 205,경기도 용인시 처인구 백암면 용천리 627-15번지,000-0000-0000,15,,,100,,하수도시설+전기시설+개수대+샤워실,소화기+방송시설+안전게시물+관리요원,,,,031-324-2117,용인시청,2019-12-03,4050000,경기도 용인시
621,용인밤골캠핑장,야영장,37.18704108,127.3349307,경기도 용인시 처인구 원삼면 죽양대로1650번길 2-43,경기도 용인시 처인구 원삼면 맹리 695-12번지,000-0000-0000,34,,,70,,하수도시설+전기시설+개수대+샤워실,소화기+방송시설+안전게시물+관리요원,,,,031-324-2117,용인시청,2019-12-03,4050000,경기도 용인시
622,마노힐링캠프,야영장,37.19765536,127.2731671,경기도 용인시 처인구 동부로 729번길 112,경기도 용인시 처인구 해곡동 225-1번지,02-1544-4783,22,,,80,,하수도시설+전기시설+개수대+샤워실,소화기+방송시설+안전게시물+관리요원,,,,031-324-2117,용인시청,2019-12-03,4050000,경기도 용인시
623,청계울낚시 캠핑장,야영장,35.3138485,127.2183014,전라남도 곡성군 입면 청계동로 989-26,전라남도 곡성군 입면 제월리 1242-6,061-362-8807,6,4156,107,30,10,전기시설+상하수도시설,소화기+대피공간,,,,061-360-8360,전라남도 곡성군청,2019-06-27,4860000,전라남도 곡성군
624,곡성 키즈글램핑,야영장,35.1603114,127.314477,전라남도 곡성군 죽곡면 오죽로 132,전라남도 곡성군 죽곡면 태평리 120,061-363-1551,20,13177,823,100,83,전기시설+상하수도시설+샤워실,소화기+대피공간,,지정일 14:00~익일 11:00,카라반:99000원~135000원,061-360-8360,전라남도 곡성군청,2019-06-27,4860000,전라남도 곡성군
